INFO 2020-11-10 09:13:42,592 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,592 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,596 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,596 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,597 - GET -> cookie sent: SessionId=64615
INFO 2020-11-10 09:13:42,597 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,597 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,598 - GET -> Client has fetched Root1/default.html
WARNING 2020-11-10 09:13:42,598 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,598 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,598 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,599 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,599 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,599 - GET -> cookie sent: SessionId=64615
INFO 2020-11-10 09:13:42,599 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,599 - [Errno 9] Bad file descriptor
WARNING 2020-11-10 09:13:42,599 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,605 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,605 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,606 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,606 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,607 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,607 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:42,607 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,608 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:42,608 - GET -> cookie sent: SessionId=64615
INFO 2020-11-10 09:13:42,608 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:42,608 - [Errno 9] Bad file descriptor
WARNING 2020-11-10 09:13:42,608 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,562 - GET -> Client has fetched Root1/index.html
INFO 2020-11-10 09:13:44,562 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,562 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,567 - GET -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,567 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,567 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,574 - Forbidden file
INFO 2020-11-10 09:13:44,575 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,575 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,585 - authentication
INFO 2020-11-10 09:13:44,585 - GET -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,585 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,590 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,590 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,590 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:44,602 - HEAD -> Client has fetched Root1/default.html
INFO 2020-11-10 09:13:44,603 - HEAD -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:44,603 - [Errno 9] Bad file descriptor
